DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KRW,KWD,MYR,NOK,NZD,OMR,PKR,QAR,SAR,SEK,SGD,THB,TRY,USD,ZAR
2022-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,20.43,56.27,0.0,199.07,59.79,82.5,0.0,11.12,82.61,100.52,9.73,66.19,0.0,247.07,0.0,8.47,52.41,194.96,0.0,20.46,20.01,7.65,55.84,0.0,0.0,76.56,4.87
2022-03-08,20.4,55.39,0.0,198.78,59.31,81.9,0.0,11.1,82.49,99.73,9.71,65.79,0.0,246.55,0.0,8.41,51.76,194.65,0.0,20.43,19.98,7.62,55.76,0.0,0.0,76.45,4.88
2022-03-09,20.42,55.19,0.0,198.93,59.03,81.64,0.0,11.14,82.89,99.76,9.72,65.61,0.0,246.42,0.0,8.48,51.71,194.78,0.0,20.52,19.99,7.66,55.74,0.0,0.0,76.5,4.91
2022-03-10,20.26,55.07,0.0,197.37,58.86,81.09,0.0,11.21,83.34,99.35,9.64,64.92,0.0,244.69,0.0,8.46,51.46,193.12,0.0,20.36,19.83,7.78,55.56,0.0,0.0,75.9,4.93
2022-03-11,20.34,55.36,0.0,198.13,59.25,81.24,0.0,11.17,83.02,99.1,9.68,64.8,0.0,245.59,0.0,8.45,51.78,194.02,0.0,20.36,19.91,7.79,55.72,0.0,0.0,76.2,4.95
2022-03-14,20.35,54.79,0.0,198.28,59.27,80.77,0.0,11.11,82.54,98.59,9.68,64.3,0.0,245.41,0.0,8.39,51.32,194.16,0.0,20.38,19.93,7.78,55.49,0.0,0.0,76.25,4.95
2022-03-15,20.28,54.07,0.0,197.61,58.89,80.34,0.0,11.14,82.84,98.57,9.65,63.82,0.0,244.57,0.0,8.36,50.84,193.4,0.0,20.31,19.86,7.9,55.29,0.0,0.0,76.0,4.93
2022-03-16,20.28,54.23,0.0,197.61,59.17,80.21,0.0,11.14,82.8,98.61,9.65,63.88,0.0,244.69,0.0,8.39,51.03,193.4,0.0,20.31,19.86,7.86,55.37,0.0,0.0,76.0,4.93
2022-03-17,20.18,54.77,0.0,196.57,59.22,79.75,0.0,11.14,82.82,98.81,9.61,63.26,0.0,243.54,0.0,8.44,51.37,192.37,0.0,20.2,19.75,7.97,55.38,0.0,0.0,75.6,4.96
2022-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,20.2,55.51,0.0,196.79,59.64,80.43,0.0,11.16,82.98,98.95,9.61,63.07,0.0,243.89,0.0,8.6,51.84,192.58,0.0,20.23,19.78,7.98,55.5,0.0,0.0,75.68,4.95
2022-03-22,20.23,55.64,0.0,197.1,59.8,80.42,0.0,11.15,82.81,99.22,9.62,62.58,0.0,244.13,0.0,8.58,51.92,193.0,0.0,20.26,19.81,7.96,55.51,0.0,0.0,75.8,4.99
2022-03-23,20.18,55.92,0.0,196.64,59.73,80.23,0.0,11.14,82.8,99.86,9.6,62.04,0.0,243.52,0.0,8.58,52.22,192.38,0.0,20.21,19.76,7.97,55.42,0.0,0.0,75.62,5.01
2022-03-24,20.28,56.34,0.0,197.56,60.04,80.87,0.0,11.16,82.89,99.69,9.65,62.29,0.0,244.59,0.0,8.7,52.46,193.3,0.0,20.31,19.86,7.99,55.64,0.0,0.0,75.98,5.04
2022-03-25,20.23,56.51,0.0,197.09,60.11,81.16,0.0,11.18,83.08,99.6,9.63,62.1,0.0,244.08,0.0,8.71,52.49,192.84,0.0,20.36,19.81,8.03,55.57,0.0,0.0,75.8,5.13
2022-03-28,20.23,56.62,0.0,197.09,60.3,80.21,0.0,11.11,82.58,99.11,9.62,60.55,0.0,243.7,0.0,8.72,52.3,193.02,0.0,20.26,19.81,7.95,55.39,0.0,0.0,75.8,5.11
2022-03-29,20.17,56.08,0.0,196.54,60.01,80.32,0.0,11.11,82.53,98.48,9.59,60.95,0.0,243.15,0.0,8.65,51.77,192.45,0.0,20.2,19.75,7.93,55.23,0.0,0.0,75.58,5.05
2022-03-30,20.08,56.12,0.0,195.59,59.85,80.37,0.0,11.18,83.09,98.02,9.55,61.46,0.0,242.3,0.0,8.64,52.02,191.39,0.0,20.21,19.65,8.04,55.23,0.0,0.0,75.23,5.08
2022-03-31,20.1,55.85,0.0,195.84,59.78,80.77,0.0,11.23,83.49,98.18,9.56,61.2,0.0,242.63,0.0,8.7,51.97,191.62,0.0,20.13,19.68,8.09,55.32,0.0,0.0,75.32,5.08
2022-04-04,20.07,56.02,0.0,195.53,59.73,80.56,0.0,11.11,82.53,98.17,9.54,60.9,0.0,242.21,0.0,8.56,51.81,191.45,0.0,20.21,19.65,7.99,55.09,0.0,0.0,75.2,5.04
2022-04-05,20.04,56.1,0.0,195.27,59.72,80.36,0.0,11.0,81.75,97.89,9.53,60.91,0.0,241.61,0.0,8.54,51.78,191.23,0.0,20.08,19.63,7.91,55.04,0.0,0.0,75.1,5.04
2022-04-06,20.04,56.4,0.0,195.27,59.67,79.98,0.0,10.94,81.26,97.55,9.52,60.25,0.0,241.49,0.0,8.51,51.74,191.23,0.0,20.07,19.63,7.91,54.88,0.0,0.0,75.1,5.01
2022-04-07,20.15,55.95,0.0,196.34,59.72,80.29,0.0,11.01,81.78,98.16,9.57,60.68,0.0,242.61,0.0,8.52,51.69,192.27,0.0,20.18,19.74,7.92,55.2,0.0,0.0,75.51,5.04
2022-04-08,20.15,55.98,0.0,196.3,59.59,80.11,0.0,10.96,81.39,98.07,9.57,60.53,0.0,242.6,0.0,8.51,51.6,192.3,0.0,20.18,19.73,7.94,55.05,0.0,0.0,75.5,5.01
2022-04-11,20.16,55.72,0.0,196.4,59.56,80.07,0.0,10.99,81.63,97.76,9.58,60.12,0.0,242.6,0.0,8.61,51.22,192.4,0.0,20.29,19.75,7.95,55.01,0.0,0.0,75.55,5.05
2022-04-12,20.19,55.68,0.0,196.7,59.45,80.61,0.0,11.0,81.74,97.97,9.59,60.03,0.0,242.9,0.0,8.54,51.25,192.6,0.0,20.21,19.78,7.91,55.1,0.0,0.0,75.65,5.09
2022-04-13,20.22,55.84,0.0,197.0,59.59,80.48,0.0,10.97,81.45,97.89,9.61,59.69,0.0,243.3,0.0,8.53,51.14,192.9,0.0,20.25,19.81,7.91,55.23,0.0,0.0,75.77,5.13
2022-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-18,20.28,55.44,0.0,197.6,59.75,79.92,0.0,10.97,81.47,98.46,9.63,59.67,0.0,244.1,0.0,8.57,50.77,193.4,0.0,20.41,19.87,7.89,55.58,0.0,0.0,76.0,5.08
2022-04-19,20.26,55.41,0.0,197.4,59.93,79.6,0.0,10.93,81.18,98.06,9.61,59.01,0.0,243.6,0.0,8.51,50.74,193.3,0.0,20.3,19.84,7.85,55.32,0.0,0.0,75.9,5.07
2022-04-21,20.24,55.86,0.0,197.2,60.32,79.13,0.0,10.98,81.54,98.38,9.61,58.68,0.0,243.3,0.0,8.55,51.01,193.1,0.0,20.36,19.83,7.97,55.24,0.0,0.0,75.85,4.93
2022-04-22,20.26,55.26,0.0,197.4,59.86,78.94,0.0,10.99,81.71,98.25,9.61,58.75,0.0,243.4,0.0,8.48,50.47,193.3,0.0,20.3,19.84,7.94,55.34,0.0,0.0,75.9,4.82
2022-04-25,20.34,54.29,0.0,198.1,59.48,78.96,0.0,10.99,81.61,97.0,9.65,58.98,0.0,244.1,0.0,8.43,49.95,194.0,0.0,20.37,19.92,7.92,55.18,0.0,0.0,76.2,4.77
2022-04-26,20.35,54.25,0.0,198.3,59.48,78.81,0.0,10.89,80.86,96.46,9.66,59.29,0.0,244.3,0.0,8.25,50.06,194.2,0.0,20.38,19.93,7.8,55.17,0.0,0.0,76.25,4.73
2022-04-27,20.35,54.14,0.0,198.3,59.25,78.57,0.0,10.85,80.56,95.35,9.66,59.35,0.0,244.2,0.0,8.21,49.72,194.2,0.0,20.45,19.93,7.72,55.07,0.0,0.0,76.25,4.72
2022-04-28,20.34,53.61,0.0,198.1,59.02,77.95,0.0,10.72,79.63,94.83,9.65,58.38,0.0,243.6,0.0,8.1,49.19,194.0,0.0,20.43,19.92,7.68,54.74,0.0,0.0,76.2,4.69
2022-04-29,20.28,53.81,0.0,197.6,59.26,77.67,0.0,10.71,79.57,94.62,9.62,58.0,0.0,242.8,0.0,8.11,49.13,193.5,0.0,20.38,19.86,7.74,54.72,0.0,0.0,76.0,4.68
2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,20.3,53.58,0.0,197.7,58.93,77.05,0.0,10.69,79.4,94.42,9.63,58.11,0.0,242.9,0.0,8.05,48.63,193.5,0.0,20.36,19.88,7.66,54.65,0.0,0.0,76.05,4.73
2022-05-05,20.22,54.35,0.0,197.0,59.11,77.3,0.0,10.75,79.88,94.8,9.59,58.31,0.0,241.9,0.0,8.16,49.16,192.9,0.0,20.27,19.8,7.74,54.83,0.0,0.0,75.75,4.8
2022-05-06,20.34,53.7,0.0,198.2,59.0,76.73,0.0,10.74,79.74,93.72,9.65,58.09,0.0,243.5,0.0,7.99,48.6,194.1,0.0,20.42,19.92,7.62,54.7,0.0,0.0,76.23,4.65
2022-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,20.55,53.48,0.0,200.2,59.12,77.08,0.0,10.82,80.35,94.06,9.75,58.46,0.0,245.8,0.0,8.02,48.51,196.1,0.0,20.58,20.13,7.67,55.04,0.0,0.0,77.0,4.68
2022-05-11,20.5,52.88,0.0,199.7,58.67,76.57,0.0,10.82,80.33,94.16,9.72,58.57,0.0,245.3,0.0,7.87,48.0,195.6,0.0,20.6,20.07,7.6,54.99,0.0,0.0,76.8,4.68
2022-05-12,20.58,52.58,0.0,200.5,58.83,76.79,0.0,10.84,80.45,93.52,9.76,59.13,0.0,245.9,0.0,7.82,47.72,196.3,0.0,20.61,20.15,7.58,55.01,0.0,0.0,77.1,4.66
2022-05-13,20.54,52.48,0.0,200.1,58.81,76.19,0.0,10.69,79.37,93.46,9.74,59.3,0.0,245.5,0.0,7.78,47.75,195.9,0.0,20.57,20.11,7.57,54.89,0.0,0.0,76.95,4.71
2022-05-17,20.6,53.81,0.0,200.8,59.87,76.97,0.0,10.85,80.6,95.61,9.77,59.33,0.0,246.4,0.0,7.94,48.75,196.6,0.0,20.71,20.18,7.72,55.42,0.0,0.0,77.2,4.71
2022-05-18,20.6,53.52,0.0,200.7,59.73,77.02,0.0,10.86,80.68,95.61,9.77,59.42,0.0,246.3,0.0,7.91,48.54,196.4,0.0,20.65,20.17,7.71,55.28,0.0,0.0,77.17,4.74
2022-05-19,20.63,53.76,0.0,200.99,59.92,77.81,0.0,10.85,80.62,95.19,9.79,59.66,0.0,246.85,0.0,7.83,48.62,196.7,0.0,20.72,20.2,7.7,55.43,0.0,0.0,77.3,4.74
2022-05-20,20.58,53.51,0.0,200.47,59.7,78.75,0.0,10.88,80.84,95.37,9.76,60.07,0.0,246.53,0.0,7.89,48.69,196.32,0.0,20.62,20.15,7.71,55.51,0.0,0.0,77.1,4.75
